unique_squirrel_id,kuks,quaas,moans
9H-PM-1018-01,False,False,False
9A-PM-1010-02,False,False,False
7E-AM-1006-06,False,False,False
40C-AM-1017-06,False,False,False
14F-AM-1007-03,False,False,False
4D-PM-1008-14,False,False,False
5E-AM-1008-03,False,False,False
40C-PM-1006-08,False,False,False
15H-PM-1008-07,False,False,False
30C-AM-1014-01,False,False,False
19E-PM-1018-01,False,False,False
4I-PM-1007-02,False,False,False
8D-AM-1007-07,False,False,False
19F-PM-1017-03,False,False,False
36I-AM-1017-08,False,False,False
14F-AM-1007-06,False,False,False
14A-PM-1014-06,False,False,False
21G-PM-1007-04,False,False,False
32D-PM-1006-03,False,False,False
4C-PM-1010-15,False,False,False
31D-PM-1006-01,False,False,False
4G-AM-1006-04,False,False,False
17D-AM-1008-02,False,False,False
8B-AM-1007-01,False,False,False
14D-AM-1014-11,False,False,False
9F-PM-1014-05,False,False,False
20F-AM-1014-01,False,False,False
10F-PM-1019-06,False,False,False
4H-AM-1006-02,False,False,False
33B-PM-1010-10,True,False,False
33F-PM-1012-06,True,False,False
3B-PM-1007-10,False,False,False
2E-PM-1014-02,False,False,False
36F-AM-1017-04,True,False,False
13A-PM-1014-02,False,False,False
16G-AM-1010-02,False,False,False
37B-AM-1018-01,False,False,False
7B-AM-1008-02,False,False,False
3F-PM-1013-03,False,False,False
15E-PM-1008-01,False,False,False
15D-AM-1007-07,False,False,False
20C-PM-1018-01,False,False,False
9A-PM-1010-03,False,False,False
4H-AM-1006-04,False,False,False
33G-PM-1006-01,False,False,False
41B-PM-1014-02,False,False,False
4C-AM-1006-02,False,False,False
7A-AM-1006-03,False,False,False
12E-AM-1017-08,False,False,False
14E-AM-1008-17,False,False,False
18A-AM-1012-02,False,False,False
8C-PM-1013-07,False,False,False
23B-PM-1012-02,False,False,False
6B-PM-1017-06,False,False,False
13A-AM-1017-01,False,False,False
23B-PM-1012-05,False,False,False
21B-AM-1019-02,False,False,False
20F-AM-1014-02,True,False,False
11D-AM-1010-01,False,False,False
9B-AM-1010-01,True,False,False
33D-AM-1017-07,False,True,False
20G-AM-1018-02,True,False,False
33E-PM-1012-07,False,False,False
31H-PM-1008-01,False,False,False
26A-PM-1006-03,False,False,False
31E-PM-1006-01,False,True,False
14F-PM-1012-02,False,False,False
17G-AM-1018-01,False,False,False
17E-AM-1017-03,False,False,False
10C-PM-1013-02,False,False,False
22C-PM-1006-06,False,False,False
35G-AM-1007-01,False,False,False
16C-PM-1018-01,False,False,False
25A-AM-1013-03,False,False,False
22F-PM-1014-03,False,False,False
33B-PM-1010-12,False,False,False
36I-AM-1017-03,False,False,False
2I-PM-1006-02,False,False,False
12G-AM-1012-01,False,False,False
25A-PM-1007-01,False,False,False
9C-PM-1006-06,False,False,False
6B-PM-1017-03,False,False,False
10D-AM-1008-05,False,False,False
14B-PM-1014-05,False,False,False
2C-PM-1013-09,False,False,False
41A-PM-1007-05,False,False,False
13E-AM-1017-12,False,False,False
15E-AM-1013-02,False,False,False
1B-AM-1012-17,False,False,False
36I-PM-1007-06,False,False,False
15F-AM-1007-08,False,False,False
8D-AM-1007-08,False,False,False
41A-AM-1013-01,False,False,False
8I-PM-1013-09,False,False,False
19B-AM-1019-01,False,False,False
15D-PM-1017-04,False,False,False
13E-AM-1017-02,False,False,False
3D-PM-1010-10,False,False,False
15C-PM-1017-02,False,False,False
32A-PM-1013-09,False,False,False
15G-AM-1008-05,False,False,False
7B-AM-1008-03,False,False,False
15E-PM-1008-07,False,False,False
4D-PM-1008-01,False,False,False
36A-PM-1013-06,False,False,False
8C-PM-1013-02,False,False,False
6A-AM-1006-07,False,False,False
41E-AM-1007-01,False,False,False
31D-AM-1014-06,False,False,False
